x	cos(th)	sin(th)	v	thDot	
0.011768795	-0.9999878	0.0049445746	-0.0047551063	0.0011626693	
0.011724289	-0.9999879	0.004925273	-0.0005862144	-0.00093075156	
0.01167981	-0.99998796	0.0049076146	-0.0047506574	0.0011423714	
0.011635378	-0.999988	0.0048916885	-0.00058176887	-0.00095096085	
0.0115909735	-0.9999881	0.0048773917	-0.0047462154	0.0011222444	
0.0115466155	-0.99998814	0.0048648138	-0.00057733076	-0.00097101316	
0.011502285	-0.9999882	0.004853853	-0.004741781	0.0011022605	
0.011458	-0.99998826	0.0048446003	-0.0005729	-0.0009909361	
0.011413744	-0.9999883	0.004836955	-0.004737354	0.0010823923	
0.011369533	-0.9999883	0.00483101	-0.0005684766	-0.0010107567	
0.01132535	-0.9999884	0.004826665	-0.0047329343	0.0010626126	
0.011281213	-0.9999884	0.0048240134	-0.00056406064	-0.0010305024	
0.0112371035	-0.9999884	0.004822957	-0.0047285217	0.0010428944	
0.01119304	-0.9999884	0.0048235897	-0.000559652	-0.0010502	
0.011149003	-0.9999884	0.0048258146	-0.004724117	0.0010232107	
0.011105014	-0.9999883	0.0048297276	-0.0005552507	-0.0010698764	
0.011061051	-0.9999883	0.004835232	-0.0047197193	0.0010035348	
0.011017134	-0.99998826	0.0048424248	-0.0005508567	-0.0010895585	
0.010973245	-0.99998826	0.00485121	-0.004715329	0.0009838396	
0.010929401	-0.9999882	0.004861687	-0.00054647005	-0.0011092729	
0.010885584	-0.99998814	0.00487376	-0.0047109458	0.0009640988	
0.010841814	-0.9999881	0.004887529	-0.0005420907	-0.0011290465	
0.010798071	-0.99998796	0.0049029016	-0.00470657	0.00094428525	
0.010754373	-0.9999879	0.004919977	-0.00053771865	-0.0011489061	
0.010710701	-0.9999878	0.004938663	-0.0047022016	0.0009243723	
0.010667077	-0.9999877	0.004959062	-0.0005333538	-0.0011688784	
0.010623479	-0.9999876	0.004981083	-0.0046978407	0.00090433296	
0.010579927	-0.9999875	0.0050048274	-0.00052899634	-0.0011889905	
0.0105364015	-0.99998736	0.0050302064	-0.0046934867	0.00088414026	
0.010492922	-0.9999872	0.0050573237	-0.0005246461	-0.0012092696	
0.010449468	-0.99998707	0.0050860904	-0.0046891402	0.00086376694	
0.010406061	-0.9999869	0.0051166113	-0.0005203031	-0.0012297429	
0.010362681	-0.99998677	0.005148799	-0.0046848007	0.0008431856	
0.010319346	-0.9999866	0.00518276	-0.0005159673	-0.0012504379	
0.010276037	-0.9999864	0.0052184067	-0.0046804687	0.0008223686	
0.010232775	-0.9999862	0.0052558472	-0.0005116387	-0.0012713824	
0.010189538	-0.999986	0.005294996	-0.0046761436	0.00080128794	
0.010146348	-0.99998575	0.0053359615	-0.00050731737	-0.0012926045	
0.010103183	-0.9999855	0.00537866	-0.004671826	0.0007799155	
0.0100600645	-0.9999853	0.0054232003	-0.00050300325	-0.0013141326	
0.010016972	-0.99998504	0.0054695	-0.0046675154	0.0007582226	
0.009973925	-0.9999848	0.00551767	-0.00049869623	-0.0013359954	
0.009930904	-0.9999845	0.0055676284	-0.0046632118	0.00073618034	
0.009887929	-0.9999842	0.0056194873	-0.00049439643	-0.0013582222	
0.00984498	-0.9999839	0.005673166	-0.0046589156	0.0007137593	
0.0097326515	-0.9999855	0.0053816536	-0.008819966	0.002784259	
0.009620425	-0.999987	0.005092262	-0.004647688	0.0006888743	
0.009577709	-0.9999867	0.005151922	-0.00047888546	-0.001404532	
0.009535018	-0.9999864	0.0052132364	-0.0046434174	0.0006684398	
0.009492373	-0.99998605	0.005276321	-0.00047461863	-0.0014251985	
0.009449753	-0.99998575	0.0053411	-0.0046391543	0.00064753165	
0.009337754	-0.9999872	0.005060564	-0.008800221	0.0027187567	
0.0092258565	-0.99998856	0.0047820304	-0.0046279593	0.0006240673	
0.009183469	-0.9999882	0.004852435	-0.00045917346	-0.0014686659	
0.009141107	-0.9999879	0.0049243835	-0.004623722	0.0006049627	
0.009029364	-0.9999892	0.0046508675	-0.008784802	0.0026770707	
0.008917725	-0.9999904	0.0043792096	-0.004612553	0.0005832412	
0.008875594	-0.99999005	0.0044563483	-0.00044377966	-0.0015086466	
0.0088334875	-0.9999897	0.00453489	-0.004608341	0.0005658207	
0.008791426	-0.99998933	0.004614957	-0.0004395713	-0.0015263719	
0.00874939	-0.999989	0.004696479	-0.004604136	0.00054778194	
